local_authority,gross_benefit,net_benefit,costs
Angus,4360.556934447123,3195.0019378573884,1165.5549965897349
East Renfrewshire,4241.341803499691,3087.340400921515,1154.001402578176
East Dunbartonshire,4239.6589917722695,3083.260105188248,1156.3988865840215
Falkirk,4177.0538661169885,3010.2873742003744,1166.766491916614
Orkney Islands,4354.65662937001,2965.744414196983,1388.9122151730267
Aberdeenshire,4028.4150155011625,2812.708292572997,1215.7067229281656
East Lothian,3890.6842283080864,2727.4276532305184,1163.256575077568
Shetland Islands,4015.369230514384,2628.945341368788,1386.4238891455961
North Ayrshire,3776.9976472805834,2626.6263982267915,1150.3712490537919
Stirling,3738.4353294960943,2571.98655077565,1166.4487787204444
South Ayrshire,3676.894494522011,2472.8217071498434,1204.0727873721676
South Lanarkshire,3603.391703105726,2446.257832098691,1157.133871007035
Midlothian,3551.758954362061,2391.9009817596107,1159.8579726024504
West Lothian,3537.5188330854608,2384.6467884685853,1152.8720446168754
Inverclyde,3537.545373741851,2384.4270800521513,1153.1182936896998
Argyll and Bute,3715.481246381349,2346.9759703201107,1368.5052760612384
Perth and Kinross,3583.795568305053,2340.5335115987245,1243.2620567063286
North Lanarkshire,3443.447092009958,2278.6736867252503,1164.7734052847077
Na h-Eileanan Siar,3653.947016666667,2271.208561861862,1382.7384548048049
Fife,3419.709989536462,2268.55355086062,1151.1564386758423
Renfrewshire,3405.604560253418,2248.933885717462,1156.670674535956
Aberdeen City,3393.660431310732,2232.9598367409767,1160.7005945697551
Highland,3512.084944883644,2227.7851397000754,1284.2998051835684
West Dunbartonshire,3381.686886194325,2217.1025021528653,1164.5843840414595
Dundee City,3315.813478926348,2151.0640776130526,1164.7494013132955
City of Edinburgh,3274.5468780359756,2110.9069377533397,1163.639940282636
Clackmannanshire,3208.2176459837005,2096.9236388242143,1111.2940071594862
East Ayrshire,3239.085637395509,2095.2329733486317,1143.8526640468772
Dumfries and Galloway,3268.7323392499497,2072.8451922978693,1195.8871469520805
Scottish Borders,3266.20741688502,2066.2747637217726,1199.9326531632473
Moray,3079.044107405871,1900.1047916398725,1178.9393157659983
Glasgow City,2859.9536962055035,1695.4986619810115,1164.455034224492
